session_id,file_source,start_time,end_time,transaction_type,withdrawal_amount,deposit_amount,card_inserted,pin_entered,transaction_completed,notes_dispensed,notes_taken,card_taken,line_count,character_count,session_length_category,authorization_code
ABM250EJ_20250618_20250618.txt_SESSION_140_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 11:56,06/18/2025 11:57,withdrawal,10000.0,,True,True,True,True,True,True,45,1072,normal,115754
ABM250EJ_20250618_20250618.txt_SESSION_141_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 11:58,06/18/2025 11:59,withdrawal,60000.0,,True,True,True,True,True,True,45,1072,normal,115656
ABM250EJ_20250618_20250618.txt_SESSION_142_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 11:59,06/18/2025 12:00,withdrawal,40000.0,,True,True,True,True,True,True,45,1072,normal,120058
ABM250EJ_20250618_20250618.txt_SESSION_143_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 12:00,06/18/2025 12:01,withdrawal,27000.0,,True,True,True,True,True,True,45,1072,normal,120160
ABM250EJ_20250618_20250618.txt_SESSION_144_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 12:02,06/18/2025 12:04,deposit,,,True,True,True,False,False,True,112,2336,long,120162
ABM250EJ_20250618_20250618.txt_SESSION_145_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 12:04,06/18/2025 12:05,withdrawal,24000.0,,True,True,True,True,True,True,46,1100,normal,813148
ABM250EJ_20250618_20250618.txt_SESSION_146_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 12:05,06/18/2025 12:06,deposit,,,True,True,True,False,False,True,83,1722,long,663780
ABM250EJ_20250618_20250618.txt_SESSION_147_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 12:06,06/18/2025 12:07,balance_inquiry,,,True,False,True,False,False,True,31,690,normal,
ABM250EJ_20250618_20250618.txt_SESSION_148_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 12:07,06/18/2025 12:08,balance_inquiry,,,True,False,True,False,False,True,31,690,normal,
ABM250EJ_20250618_20250618.txt_SESSION_149_20250803_093331,ABM250EJ_20250618_20250618.txt,06/18/2025 12:09,06/18/2025 12:10,balance_inquiry,,,True,True,True,False,False,True,34,770,normal,
